Name	NOC	City	Year	Sport	Event	Medal
Yevgeny Romanovich Grishin	URS	Cortina d'Ampezzo	1956	Speed Skating	Speed Skating Men's 500 metres	Gold
Yevgeny Romanovich Grishin	URS	Cortina d'Ampezzo	1956	Speed Skating	Speed Skating Men's 1,500 metres	Gold
Yevgeny Romanovich Grishin	URS	Squaw Valley	1960	Speed Skating	Speed Skating Men's 500 metres	Gold
Yevgeny Romanovich Grishin	URS	Squaw Valley	1960	Speed Skating	Speed Skating Men's 1,500 metres	Gold
Yevgeny Romanovich Grishin	URS	Innsbruck	1964	Speed Skating	Speed Skating Men's 500 metres	Silver
Renate Titzia Groenewold	NED	Salt Lake City	2002	Speed Skating	Speed Skating Women's 3,000 metres	Silver
Renate Titzia Groenewold	NED	Torino	2006	Speed Skating	Speed Skating Women's 3,000 metres	Silver
James David ""Jim"" Grogan	USA	Oslo	1952	Figure Skating	Figure Skating Men's Singles	Bronze
Tuomas Oskar Grnman	FIN	Nagano	1998	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Stefan Groothuis	NED	Sochi	2014	Speed Skating	Speed Skating Men's 1,000 metres	Gold
Manuela Gro (-Leupold)	GDR	Sapporo	1972	Figure Skating	Figure Skating Mixed Pairs	Bronze
Manuela Gro (-Leupold)	GDR	Innsbruck	1976	Figure Skating	Figure Skating Mixed Pairs	Bronze
Piero Gros	ITA	Innsbruck	1976	Alpine Skiing	Alpine Skiing Men's Slalom	Gold
Ricco Gro	GER	Albertville	1992	Biathlon	Biathlon Men's 10 kilometres Sprint	Silver
Ricco Gro	GER	Albertville	1992	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Gold
Ricco Gro	GER	Lillehammer	1994	Biathlon	Biathlon Men's 10 kilometres Sprint	Silver
Ricco Gro	GER	Lillehammer	1994	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Gold
Ricco Gro	GER	Nagano	1998	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Gold
Ricco Gro	GER	Salt Lake City	2002	Biathlon	Biathlon Men's 12.5 kilometres Pursuit	Bronze
Ricco Gro	GER	Salt Lake City	2002	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Silver
Ricco Gro	GER	Torino	2006	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Gold
Yevgeny Nikolayevich Groshev	URS	Squaw Valley	1960	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Edgar Alain Grospiron	FRA	Albertville	1992	Freestyle Skiing	Freestyle Skiing Men's Moguls	Gold
Edgar Alain Grospiron	FRA	Lillehammer	1994	Freestyle Skiing	Freestyle Skiing Men's Moguls	Bronze
Kristina Nicole Groves	CAN	Torino	2006	Speed Skating	Speed Skating Women's 1,500 metres	Silver
Kristina Nicole Groves	CAN	Torino	2006	Speed Skating	Speed Skating Women's Team Pursuit (6 laps)	Silver
Kristina Nicole Groves	CAN	Vancouver	2010	Speed Skating	Speed Skating Women's 1,500 metres	Silver
Kristina Nicole Groves	CAN	Vancouver	2010	Speed Skating	Speed Skating Women's 3,000 metres	Bronze
Bernhard Gruber	AUT	Vancouver	2010	Nordic Combined	Nordic Combined Men's Large Hill / 10 km, Individual	Bronze
Bernhard Gruber	AUT	Vancouver	2010	Nordic Combined	Nordic Combined Men's Team	Gold
Bernhard Gruber	AUT	Sochi	2014	Nordic Combined	Nordic Combined Men's Team	Bronze
Herbert Gruber	AUT	Grenoble	1968	Bobsleigh	Bobsleigh Men's Four	Silver
Michael Gruber	AUT	Salt Lake City	2002	Nordic Combined	Nordic Combined Men's Team	Bronze
Michael Gruber	AUT	Torino	2006	Nordic Combined	Nordic Combined Men's Team	Gold
Andreas ""Andi"" Grnenfelder	SUI	Calgary	1988	Cross Country Skiing	Cross Country Skiing Men's 50 kilometres	Bronze
Harald Grnningen	NOR	Squaw Valley	1960	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Silver
Harald Grnningen	NOR	Innsbruck	1964	Cross Country Skiing	Cross Country Skiing Men's 15 kilometres	Silver
Harald Grnningen	NOR	Innsbruck	1964	Cross Country Skiing	Cross Country Skiing Men's 30 kilometres	Silver
Harald Grnningen	NOR	Grenoble	1968	Cross Country Skiing	Cross Country Skiing Men's 15 kilometres	Gold
Harald Grnningen	NOR	Grenoble	1968	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Gold
Audun Grnvold	NOR	Vancouver	2010	Freestyle Skiing	Freestyle Skiing Men's Ski Cross	Bronze
Roar Grnvold	NOR	Sapporo	1972	Speed Skating	Speed Skating Men's 1,500 metres	Silver
Roar Grnvold	NOR	Sapporo	1972	Speed Skating	Speed Skating Men's 5,000 metres	Silver
Johan Hagbart Pedersen Grttumsbraaten	NOR	Chamonix	1924	Cross Country Skiing	Cross Country Skiing Men's 18 kilometres	Silver
Johan Hagbart Pedersen Grttumsbraaten	NOR	Chamonix	1924	Nordic Combined	Nordic Combined Men's Individual	Bronze
Johan Hagbart Pedersen Grttumsbraaten	NOR	Chamonix	1924	Cross Country Skiing	Cross Country Skiing Men's 50 kilometres	Bronze
Johan Hagbart Pedersen Grttumsbraaten	NOR	Sankt Moritz	1928	Cross Country Skiing	Cross Country Skiing Men's 18 kilometres	Gold
Johan Hagbart Pedersen Grttumsbraaten	NOR	Sankt Moritz	1928	Nordic Combined	Nordic Combined Men's Individual	Gold
Johan Hagbart Pedersen Grttumsbraaten	NOR	Lake Placid	1932	Nordic Combined	Nordic Combined Men's Individual	Gold
Peter Gschnitzer	ITA	Lake Placid	1980	Luge	Luge Mixed (Men)'s Doubles	Silver
Bernhard Gstrein	AUT	Calgary	1988	Alpine Skiing	Alpine Skiing Men's Combined	Silver
Leo Gudas	TCH	Albertville	1992	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Marcia Gudereit (Schiml-)	CAN	Nagano	1998	Curling	Curling Women's Curling	Gold
William Robert ""Bill"" Guerin	USA	Salt Lake City	2002	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Sylvain Guillaume	FRA	Albertville	1992	Nordic Combined	Nordic Combined Men's Individual	Silver
Sylvain Guillaume	FRA	Nagano	1998	Nordic Combined	Nordic Combined Men's Team	Bronze
Jonathan Guilmette	CAN	Salt Lake City	2002	Short Track Speed Skating	Short Track Speed Skating Men's 500 metres	Silver
Jonathan Guilmette	CAN	Salt Lake City	2002	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Gold
Jonathan Guilmette	CAN	Torino	2006	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Silver
Nikolay Alekseyevich Gulyayev	URS	Calgary	1988	Speed Skating	Speed Skating Men's 1,000 metres	Gold
Vladimir Ilyich Gundartsev	URS	Grenoble	1968	Biathlon	Biathlon Men's 20 kilometres	Bronze
Vladimir Ilyich Gundartsev	URS	Grenoble	1968	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Gold
Chanda Leigh Gunn	USA	Torino	2006	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Stig-Arne Gunnestad	NOR	Nagano	1998	Curling	Curling Men's Curling	Bronze
Dettlef Gnther	GDR	Innsbruck	1976	Luge	Luge Men's Singles	Gold
Guo Wei	CHN	Salt Lake City	2002	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Bronze
Guo Xinxin	CHN	Vancouver	2010	Freestyle Skiing	Freestyle Skiing Women's Aerials	Bronze
Aleksey Mikhaylovich Guryshev	URS	Cortina d'Ampezzo	1956	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Nikolay Nikolayevich Gusakov	URS	Squaw Valley	1960	Nordic Combined	Nordic Combined Men's Individual	Bronze
Mariya Ivanovna Gusakova (Kudimova-)	URS	Squaw Valley	1960	Cross Country Skiing	Cross Country Skiing Women's 10 kilometres	Gold
Mariya Ivanovna Gusakova (Kudimova-)	URS	Squaw Valley	1960	Cross Country Skiing	Cross Country Skiing Women's 3 x 5 kilometres Relay	Silver
Mariya Ivanovna Gusakova (Kudimova-)	URS	Innsbruck	1964	Cross Country Skiing	Cross Country Skiing Women's 10 kilometres	Bronze
Aleksey Vasilyevich Gusarov	URS	Calgary	1988	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Aleksey Vasilyevich Gusarov	RUS	Nagano	1998	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Aleksandr Vladimirovich Gusev	URS	Innsbruck	1976	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Klara Ivanovna Guseva-Nesterova	URS	Squaw Valley	1960	Speed Skating	Speed Skating Women's 1,000 metres	Gold
Bradley Raymond ""Brad"" Gushue	CAN	Torino	2006	Curling	Curling Men's Curling	Gold
Karin Elisabet Gustafson (Johansson-)	SWE	Nagano	1998	Curling	Curling Women's Curling	Bronze
Sven Tomas Gustafson	SWE	Sarajevo	1984	Speed Skating	Speed Skating Men's 5,000 metres	Gold
Sven Tomas Gustafson	SWE	Sarajevo	1984	Speed Skating	Speed Skating Men's 10,000 metres	Silver
Sven Tomas Gustafson	SWE	Calgary	1988	Speed Skating	Speed Skating Men's 5,000 metres	Gold
Sven Tomas Gustafson	SWE	Calgary	1988	Speed Skating	Speed Skating Men's 10,000 metres	Gold
Toini Gustafsson (Karvonen-, -Rnnlund)	SWE	Innsbruck	1964	Cross Country Skiing	Cross Country Skiing Women's 3 x 5 kilometres Relay	Silver
Toini Gustafsson (Karvonen-, -Rnnlund)	SWE	Grenoble	1968	Cross Country Skiing	Cross Country Skiing Women's 5 kilometres	Gold
Toini Gustafsson (Karvonen-, -Rnnlund)	SWE	Grenoble	1968	Cross Country Skiing	Cross Country Skiing Women's 10 kilometres	Gold
Toini Gustafsson (Karvonen-, -Rnnlund)	SWE	Grenoble	1968	Cross Country Skiing	Cross Country Skiing Women's 3 x 5 kilometres Relay	Silver
Lara Gut	SUI	Sochi	2014	Alpine Skiing	Alpine Skiing Women's Downhill	Bronze
Fabrice Jean-Marie Guy	FRA	Albertville	1992	Nordic Combined	Nordic Combined Men's Individual	Gold
Fabrice Jean-Marie Guy	FRA	Nagano	1998	Nordic Combined	Nordic Combined Men's Team	Bronze
Patrick ""Patsy"" Guzzo	CAN	Sankt Moritz	1948	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Gwak Yun-Gi	KOR	Vancouver	2010	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Silver
Anna Margret Haag (Hansson-)	SWE	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Women's 15 km Skiathlon	Silver
Anna Margret Haag (Hansson-)	SWE	Vancouver	2010	Cross Country Skiing	Cross Country Skiing Women's Team Sprint	Silver
Anna Margret Haag (Hansson-)	SWE	Sochi	2014	Cross Country Skiing	Cross Country Skiing Women's 4 x 5 kilometres Relay	Gold
Christl Haas	AUT	Innsbruck	1964	Alpine Skiing	Alpine Skiing Women's Downhill	Gold
Christl Haas	AUT	Grenoble	1968	Alpine Skiing	Alpine Skiing Women's Downhill	Bronze
Josef Haas	SUI	Grenoble	1968	Cross Country Skiing	Cross Country Skiing Men's 50 kilometres	Bronze
Helga Haase (Obschernitzki-)	GER	Squaw Valley	1960	Speed Skating	Speed Skating Women's 500 metres	Gold
Helga Haase (Obschernitzki-)	GER	Squaw Valley	1960	Speed Skating	Speed Skating Women's 1,000 metres	Silver
Georg Hackl	FRG	Calgary	1988	Luge	Luge Men's Singles	Silver
Georg Hackl	GER	Albertville	1992	Luge	Luge Men's Singles	Gold
Georg Hackl	GER	Lillehammer	1994	Luge	Luge Men's Singles	Gold
Georg Hackl	GER	Nagano	1998	Luge	Luge Men's Singles	Gold
Georg Hackl	GER	Salt Lake City	2002	Luge	Luge Men's Singles	Silver
Michael Florian Hadschieff	AUT	Calgary	1988	Speed Skating	Speed Skating Men's 1,500 metres	Bronze
Michael Florian Hadschieff	AUT	Calgary	1988	Speed Skating	Speed Skating Men's 10,000 metres	Silver
Carl Oliver Ruud Hagelin	SWE	Sochi	2014	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Oddbjrn Hagen	NOR	Garmisch-Partenkirchen	1936	Cross Country Skiing	Cross Country Skiing Men's 18 kilometres	Silver
Oddbjrn Hagen	NOR	Garmisch-Partenkirchen	1936	Nordic Combined	Nordic Combined Men's Individual	Gold
Oddbjrn Hagen	NOR	Garmisch-Partenkirchen	1936	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Silver
Olav Ingvaldsen Hagen	NOR	Sankt Moritz	1948	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Bronze
Jamie Hagerman	USA	Torino	2006	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
James ""Jim"" Haggarty	CAN	Garmisch-Partenkirchen	1936	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Johan Artur Hggblad	SWE	Garmisch-Partenkirchen	1936	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Bronze
Hans Lennart Hggroth	SWE	Innsbruck	1964	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Niklas Hagman	FIN	Torino	2006	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Niklas Hagman	FIN	Vancouver	2010	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Norbert Hahn	GDR	Innsbruck	1976	Luge	Luge Mixed (Men)'s Doubles	Gold
Norbert Hahn	GDR	Lake Placid	1980	Luge	Luge Mixed (Men)'s Doubles	Gold
Gerhard Haidacher	AUT	Albertville	1992	Bobsleigh	Bobsleigh Men's Four	Gold
Pemysl Hain	TCH	Sankt Moritz	1948	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Veikko Johannes Hakulinen	FIN	Oslo	1952	Cross Country Skiing	Cross Country Skiing Men's 50 kilometres	Gold
Veikko Johannes Hakulinen	FIN	Cortina d'Ampezzo	1956	Cross Country Skiing	Cross Country Skiing Men's 30 kilometres	Gold
Veikko Johannes Hakulinen	FIN	Cortina d'Ampezzo	1956	Cross Country Skiing	Cross Country Skiing Men's 50 kilometres	Silver
Veikko Johannes Hakulinen	FIN	Cortina d'Ampezzo	1956	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Silver
Veikko Johannes Hakulinen	FIN	Squaw Valley	1960	Cross Country Skiing	Cross Country Skiing Men's 15 kilometres	Bronze
Veikko Johannes Hakulinen	FIN	Squaw Valley	1960	Cross Country Skiing	Cross Country Skiing Men's 50 kilometres	Silver
Veikko Johannes Hakulinen	FIN	Squaw Valley	1960	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Gold
Wallace Edwin ""Wally"" Halder	CAN	Sankt Moritz	1948	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Gerard Hallock, III	USA	Lake Placid	1932	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Kalle Niilo Ponteva Halonen	FIN	Squaw Valley	1960	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Silver
Jan Ivar Halvarsson	SWE	Grenoble	1968	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Silver
Vesa Erik Hmlinen	FIN	Lillehammer	1994	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Kalevi Nikolai Hmlinen	FIN	Squaw Valley	1960	Cross Country Skiing	Cross Country Skiing Men's 50 kilometres	Gold
Charles Hamelin	CAN	Torino	2006	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Silver
Charles Hamelin	CAN	Vancouver	2010	Short Track Speed Skating	Short Track Speed Skating Men's 500 metres	Gold
Charles Hamelin	CAN	Vancouver	2010	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Gold
Charles Hamelin	CAN	Sochi	2014	Short Track Speed Skating	Short Track Speed Skating Men's 1,500 metres	Gold
Franois Hamelin	CAN	Vancouver	2010	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Gold
Daniel ""Dan"" Hamhuis	CAN	Sochi	2014	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Dorothy Stuart Hamill (-Martin, -Forsythe)	USA	Innsbruck	1976	Figure Skating	Figure Skating Women's Singles	Gold
Claire Hamilton	GBR	Sochi	2014	Curling	Curling Women's Curling	Bronze
Scott Scovell Hamilton	USA	Sarajevo	1984	Figure Skating	Figure Skating Men's Singles	Gold
Erin Mullady Hamlin	USA	Sochi	2014	Luge	Luge Women's Singles	Bronze
Therese ""Resi"" Hammerer (-Giger)	AUT	Sankt Moritz	1948	Alpine Skiing	Alpine Skiing Women's Downhill	Bronze
Olaf Hampel	GER	Lillehammer	1994	Bobsleigh	Bobsleigh Men's Four	Gold
Olaf Hampel	GER	Nagano	1998	Bobsleigh	Bobsleigh Men's Four	Gold
Roman Hamrlk	CZE	Nagano	1998	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Han Pil-Hwa	PRK	Innsbruck	1964	Speed Skating	Speed Skating Women's 3,000 metres	Silver
Han Tianyu	CHN	Sochi	2014	Short Track Speed Skating	Short Track Speed Skating Men's 1,500 metres	Silver
Han Tianyu	CHN	Sochi	2014	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Bronze
Han Xiaopeng	CHN	Torino	2006	Freestyle Skiing	Freestyle Skiing Men's Aerials	Gold
Emil Handschin	SUI	Sankt Moritz	1948	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Halvard Hanevold	NOR	Nagano	1998	Biathlon	Biathlon Men's 20 kilometres	Gold
Halvard Hanevold	NOR	Nagano	1998	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Silver
Halvard Hanevold	NOR	Salt Lake City	2002	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Gold
Halvard Hanevold	NOR	Torino	2006	Biathlon	Biathlon Men's 10 kilometres Sprint	Silver
Halvard Hanevold	NOR	Torino	2006	Biathlon	Biathlon Men's 20 kilometres	Bronze
Halvard Hanevold	NOR	Vancouver	2010	Biathlon	Biathlon Men's 4 x 7.5 kilometres Relay	Gold
David Patrick ""Dave"" Hannan	CAN	Albertville	1992	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Sven Hannawald (Phler-)	GER	Nagano	1998	Ski Jumping	Ski Jumping Men's Large Hill, Team	Silver
Sven Hannawald (Phler-)	GER	Salt Lake City	2002	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Silver
Sven Hannawald (Phler-)	GER	Salt Lake City	2002	Ski Jumping	Ski Jumping Men's Large Hill, Team	Gold
Ren Hannemann	GER	Albertville	1992	Bobsleigh	Bobsleigh Men's Four	Silver
Ren Hannemann	GER	Lillehammer	1994	Bobsleigh	Bobsleigh Men's Four	Bronze
Kirsi Maaria Hnninen	FIN	Nagano	1998	Ice Hockey	Ice Hockey Women's Ice Hockey	Bronze
Mika Stefan Hannula	SWE	Torino	2006	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Ralph Lawrence Hansch	CAN	Oslo	1952	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Brian Hansen	USA	Vancouver	2010	Speed Skating	Speed Skating Men's Team Pursuit (8 laps)	Silver
Kieran Hansen	AUS	Lillehammer	1994	Short Track Speed Skating	Short Track Speed Skating Men's 5,000 metres Relay	Bronze
Kent Roger Hansson	SWE	Lillehammer	1994	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Yuzuru Hanyu	JPN	Sochi	2014	Figure Skating	Figure Skating Men's Singles	Gold
Janne Mikael Happonen	FIN	Torino	2006	Ski Jumping	Ski Jumping Men's Large Hill, Team	Silver
Masahiko Harada	JPN	Lillehammer	1994	Ski Jumping	Ski Jumping Men's Large Hill, Team	Silver
Masahiko Harada	JPN	Nagano	1998	Ski Jumping	Ski Jumping Men's Large Hill, Individual	Bronze
Masahiko Harada	JPN	Nagano	1998	Ski Jumping	Ski Jumping Men's Large Hill, Team	Gold
Norman Edward ""Ted"" Hargreaves	CAN	Grenoble	1968	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
David A. Harlock	CAN	Lillehammer	1994	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Eric J. ""E.J."" Harnden	CAN	Sochi	2014	Curling	Curling Men's Curling	Gold
Ryan Harnden	CAN	Sochi	2014	Curling	Curling Men's Curling	Gold
John Michael Harrington	USA	Lake Placid	1980	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Michael ""Mike"" Harris	CAN	Nagano	1998	Curling	Curling Men's Curling	Silver
Clifford ""Cliff"" Harrison	USA	Oslo	1952	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Richard Hart	CAN	Nagano	1998	Curling	Curling Men's Curling	Silver
Johannes ""Johs"" Harviken	NOR	Sapporo	1972	Cross Country Skiing	Cross Country Skiing Men's 30 kilometres	Bronze
Johannes ""Johs"" Harviken	NOR	Sapporo	1972	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Silver
Dominik Haek	CZE	Nagano	1998	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Dominik Haek	CZE	Torino	2006	Ice Hockey	Ice Hockey Men's Ice Hockey	Bronze
Oswald Haselrieder	ITA	Torino	2006	Luge	Luge Mixed (Men)'s Doubles	Bronze
Seiko Hashimoto (-Ishizaki)	JPN	Albertville	1992	Speed Skating	Speed Skating Women's 1,500 metres	Bronze
Heikki Vihtori Hasu	FIN	Sankt Moritz	1948	Nordic Combined	Nordic Combined Men's Individual	Gold
Heikki Vihtori Hasu	FIN	Oslo	1952	Nordic Combined	Nordic Combined Men's Individual	Silver
Heikki Vihtori Hasu	FIN	Oslo	1952	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Gold
Ola Vigen Hattestad	NOR	Sochi	2014	Cross Country Skiing	Cross Country Skiing Men's Sprint	Gold
Stine Lise Hattestad (-Bratsberg)	NOR	Albertville	1992	Freestyle Skiing	Freestyle Skiing Women's Moguls	Bronze
Stine Lise Hattestad (-Bratsberg)	NOR	Lillehammer	1994	Freestyle Skiing	Freestyle Skiing Women's Moguls	Gold
Thorleif Haug (Johnsen-)	NOR	Chamonix	1924	Cross Country Skiing	Cross Country Skiing Men's 18 kilometres	Gold
Thorleif Haug (Johnsen-)	NOR	Chamonix	1924	Nordic Combined	Nordic Combined Men's Individual	Gold
Thorleif Haug (Johnsen-)	NOR	Chamonix	1924	Cross Country Skiing	Cross Country Skiing Men's 50 kilometres	Gold
Anders Olsen Haugen	USA	Chamonix	1924	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Bronze
Villy Haugen	NOR	Innsbruck	1964	Speed Skating	Speed Skating Men's 1,500 metres	Bronze
Sverre Ingolf Haugli	NOR	Oslo	1952	Speed Skating	Speed Skating Men's 5,000 metres	Bronze
Eduard ""Edi"" Hauser	SUI	Sapporo	1972	Cross Country Skiing	Cross Country Skiing Men's 4 x 10 kilometres Relay	Bronze
Jan Hauser	SUI	Vancouver	2010	Curling	Curling Men's Curling	Bronze
Simone Hye-Soon Hauswald (Denkinger-)	GER	Vancouver	2010	Biathlon	Biathlon Women's 12.5 kilometres Mass Start	Bronze
Simone Hye-Soon Hauswald (Denkinger-)	GER	Vancouver	2010	Biathlon	Biathlon Women's 4 x 6 kilometres Relay	Bronze
Matti Antero Hautamki	FIN	Salt Lake City	2002	Ski Jumping	Ski Jumping Men's Large Hill, Individual	Bronze
Matti Antero Hautamki	FIN	Salt Lake City	2002	Ski Jumping	Ski Jumping Men's Large Hill, Team	Silver
Matti Antero Hautamki	FIN	Torino	2006	Ski Jumping	Ski Jumping Men's Normal Hill, Individual	Silver
Matti Antero Hautamki	FIN	Torino	2006	Ski Jumping	Ski Jumping Men's Large Hill, Team	Silver
Jan Havel	TCH	Grenoble	1968	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Anders Niclas Hvelid	SWE	Torino	2006	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
Michael Haybck	AUT	Sochi	2014	Ski Jumping	Ski Jumping Men's Large Hill, Team	Silver
Todd Dennys Hays	USA	Salt Lake City	2002	Bobsleigh	Bobsleigh Men's Four	Silver
Donald Charles ""Don"" Head	CAN	Squaw Valley	1960	Ice Hockey	Ice Hockey Men's Ice Hockey	Silver
Geraldine Anne Heaney	CAN	Nagano	1998	Ice Hockey	Ice Hockey Women's Ice Hockey	Silver
Geraldine Anne Heaney	CAN	Salt Lake City	2002	Ice Hockey	Ice Hockey Women's Ice Hockey	Gold
Daniel James ""Dany"" Heatley	CAN	Vancouver	2010	Ice Hockey	Ice Hockey Men's Ice Hockey	Gold
John Rutherford ""Jack"" Heaton	USA	Sankt Moritz	1928	Skeleton	Skeleton Men's Skeleton	Silver
John Rutherford ""Jack"" Heaton	USA	Lake Placid	1932	Bobsleigh	Bobsleigh Men's Two	Bronze
John Rutherford ""Jack"" Heaton	USA	Sankt Moritz	1948	Skeleton	Skeleton Men's Skeleton	Silver
Jennison Heaton	USA	Sankt Moritz	1928	Skeleton	Skeleton Men's Skeleton	Gold
Jennison Heaton	USA	Sankt Moritz	1928	Bobsleigh	Bobsleigh Men's Four/Five	Silver
Benjamin ""Ben"" Hebert	CAN	Vancouver	2010	Curling	Curling Men's Curling	Gold
Waltraud J. ""Traudl"" Hecher (-Grgl)	AUT	Squaw Valley	1960	Alpine Skiing	Alpine Skiing Women's Downhill	Bronze
Waltraud J. ""Traudl"" Hecher (-Grgl)	AUT	Innsbruck	1964	Alpine Skiing	Alpine Skiing Women's Downhill	Bronze
Gthe Emanuel Hedlund	SWE	Sankt Moritz	1948	Speed Skating	Speed Skating Men's 5,000 metres	Bronze
Per Erik Hedlund	SWE	Sankt Moritz	1928	Cross Country Skiing	Cross Country Skiing Men's 50 kilometres	Gold
Chad Paul Hedrick	USA	Torino	2006	Speed Skating	Speed Skating Men's 1,500 metres	Bronze
Chad Paul Hedrick	USA	Torino	2006	Speed Skating	Speed Skating Men's 5,000 metres	Gold
Chad Paul Hedrick	USA	Torino	2006	Speed Skating	Speed Skating Men's 10,000 metres	Silver
Chad Paul Hedrick	USA	Vancouver	2010	Speed Skating	Speed Skating Men's 1,000 metres	Bronze
Chad Paul Hedrick	USA	Vancouver	2010	Speed Skating	Speed Skating Men's Team Pursuit (8 laps)	Silver
Jayna Hefford	CAN	Nagano	1998	Ice Hockey	Ice Hockey Women's Ice Hockey	Silver
Jayna Hefford	CAN	Salt Lake City	2002	Ice Hockey	Ice Hockey Women's Ice Hockey	Gold
Jayna Hefford	CAN	Torino	2006	Ice Hockey	Ice Hockey Women's Ice Hockey	Gold
Jayna Hefford	CAN	Vancouver	2010	Ice Hockey	Ice Hockey Women's Ice Hockey	Gold
Jayna Hefford	CAN	Sochi	2014	Ice Hockey	Ice Hockey Women's Ice Hockey	Gold
Beat Hefti	SUI	Salt Lake City	2002	Bobsleigh	Bobsleigh Men's Two	Bronze
Beat Hefti	SUI	Torino	2006	Bobsleigh	Bobsleigh Men's Two	Bronze
Beat Hefti	SUI	Torino	2006	Bobsleigh	Bobsleigh Men's Four	Bronze
Beat Hefti	SUI	Sochi	2014	Bobsleigh	Bobsleigh Men's Two	Silver
Ole Johan Hegge (Iversen-)	NOR	Sankt Moritz	1928	Cross Country Skiing	Cross Country Skiing Men's 18 kilometres	Silver
Anne Heggtveit (-Hamilton)	CAN	Squaw Valley	1960	Alpine Skiing	Alpine Skiing Women's Slalom	Gold
Elizabeth Lee ""Beth"" Heiden (-Reid)	USA	Lake Placid	1980	Speed Skating	Speed Skating Women's 3,000 metres	Bronze
Eric Arthur Heiden	USA	Lake Placid	1980	Speed Skating	Speed Skating Men's 500 metres	Gold
